unit_id,cycle,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_9,sensor_12,sensor_14,sensor_17,RUL
1,1,-0.0007,-0.0004,100.0,641.82,1589.7,1400.6,554.36,9046.19,521.66,8138.62,392,150
1,2,0.0019,-0.0003,100.0,642.15,1591.82,1403.14,553.75,9044.07,522.28,8131.49,392,150
1,3,-0.0043,0.0003,100.0,642.35,1587.99,1404.2,554.26,9052.94,522.42,8133.23,390,150
1,4,0.0007,0.0,100.0,642.35,1582.79,1401.87,554.45,9049.48,522.86,8133.83,392,150
1,5,-0.0019,-0.0002,100.0,642.37,1582.85,1406.22,554.0,9055.15,522.19,8133.8,393,150
1,6,-0.0043,-0.0001,100.0,642.1,1584.47,1398.37,554.67,9049.68,521.68,8132.85,391,150
1,7,0.001,0.0001,100.0,642.48,1592.32,1397.77,554.34,9059.13,522.32,8132.32,392,150
1,8,-0.0034,0.0003,100.0,642.56,1582.96,1400.97,553.85,9040.8,522.47,8131.07,391,150
1,9,0.0008,0.0001,100.0,642.12,1590.98,1394.8,553.69,9046.46,521.79,8125.69,392,150
1,10,-0.0033,0.0001,100.0,641.71,1591.24,1400.46,553.59,9051.7,521.79,8129.38,393,150
1,11,0.0018,-0.0003,100.0,642.28,1581.75,1400.64,554.54,9049.61,521.4,8140.58,392,150
1,12,0.0016,0.0002,100.0,642.06,1583.41,1400.15,554.52,9049.37,521.8,8134.25,391,150
1,13,-0.0019,0.0004,100.0,643.07,1582.19,1400.83,553.44,9046.82,521.85,8128.1,393,150
1,14,0.0009,-0.0,100.0,642.35,1592.95,1399.16,554.48,9047.37,521.67,8134.43,393,150
1,15,-0.0018,-0.0003,100.0,642.43,1583.82,1402.13,553.64,9052.22,522.5,8127.56,391,150
1,16,0.0006,0.0005,100.0,642.13,1587.98,1404.5,553.94,9049.34,521.49,8136.11,392,150
1,17,0.0002,0.0002,100.0,642.58,1584.96,1399.95,553.8,9054.92,521.89,8137.27,392,150
1,18,-0.0031,-0.0001,100.0,642.62,1591.04,1396.12,554.2,9049.55,521.76,8132.73,392,150
1,19,0.0032,-0.0003,100.0,641.79,1587.56,1400.35,554.18,9053.99,521.89,8129.13,391,150
1,20,-0.0037,0.0001,100.0,643.04,1581.11,1405.23,554.81,9045.9,522.07,8129.71,392,150
1,21,-0.0012,0.0001,100.0,642.37,1586.07,1398.13,554.08,9048.15,522.42,8134.02,392,150
